Dataset,Backprop,Model,Num_layers,Batchsize,LearningRate,TotalEpochs,Num_parameters,Optimizer,Best_train,Best_test,Best_test_at,Avg_time
MNIST,backprop,kan,2layers,4096,0.0005,0,127040,Adam,0.7816337,0.7774658,0,7.567811727523804
MNIST,backprop,kan,2layers,4096,0.0005,0,127040,Adam,0.8953683,0.8934326,0,7.965243577957153
MNIST,backprop,kan,2layers,4096,0.0005,0,127040,SGDM,0.7868478,0.7828369,0,7.63027286529541
MNIST,backprop,kan,2layers,4096,0.0005,0,127040,SGD,0.7868129,0.7832031,0,7.484564304351807
MNIST,backprop,kan,2layers,4096,0.0005,0,127040,SGD,0.89746094,0.8959961,0,7.66550612449646
MNIST,backprop,kan,2layers,4096,0.0005,4,254080,Adam,0.9340297,0.91955566,2,7.423425515492757
MNIST,backprop,kan,2layers,4096,0.0005,4,254080,SGD,0.93418664,0.9189453,0,7.516597191492717
MNIST,backprop,kan,2layers,4096,0.0005,4,254080,SGDM,0.9341169,0.9193115,1,7.4697292645772295
MNIST,backprop,kan,2layers,4096,0.005,4,254080,Adam,0.9308036,0.9165039,2,7.532254139582316
MNIST,backprop,kan,2layers,4096,0.005,4,254080,SGD,0.93310547,0.92004395,0,7.376629114151001
MNIST,backprop,kan,2layers,4096,0.005,4,254080,SGDM,0.93310547,0.9190674,0,7.521754662195842
MNIST,backprop,kan,2layers,4096,0.05,0,127040,Adam,0.58382744,0.5731201,0,7.688907623291016
MNIST,backprop,kan,2layers,4096,0.05,0,127040,Adam,0.77188545,0.7751465,0,7.712103605270386
MNIST,backprop,kan,2layers,4096,0.05,0,127040,SGDM,0.7760882,0.77282715,0,7.496010303497314
MNIST,backprop,kan,2layers,4096,0.05,0,127040,SGDM,0.892055,0.88952637,0,7.611222267150879
MNIST,backprop,kan,2layers,4096,0.05,0,127040,SGD,0.7708217,0.76501465,0,7.474083185195923
MNIST,backprop,kan,2layers,4096,0.05,0,127040,SGD,0.8877825,0.88671875,0,7.685238122940063
MNIST,backprop,kan,2layers,4096,0.05,4,254080,Adam,0.9104701,0.9034424,2,7.427643060684204
MNIST,backprop,kan,2layers,4096,0.05,4,254080,SGD,0.9227992,0.91296387,2,7.506561915079753
MNIST,backprop,kan,2layers,4096,0.05,4,254080,SGDM,0.92424667,0.91503906,2,7.391323804855347
MNIST,backprop,kan,3layers,4096,0.0005,4,525440,Adam,0.9481201,0.9375,2,7.74589737256368
MNIST,backprop,kan,3layers,4096,0.0005,4,525440,SGD,0.94895715,0.9370117,0,7.454091310501099
MNIST,backprop,kan,3layers,4096,0.0005,4,525440,SGDM,0.9491839,0.9375,2,7.438590447107951
MNIST,backprop,kan,3layers,4096,0.005,4,525440,Adam,0.8521031,0.8441162,2,7.443652073542277
MNIST,backprop,kan,3layers,4096,0.005,4,525440,SGD,0.9145333,0.89941406,2,7.422777493794759
MNIST,backprop,kan,3layers,4096,0.005,4,525440,SGDM,0.94226074,0.92907715,2,7.443712155024211
MNIST,backprop,kan,3layers,4096,0.05,4,525440,Adam,0.7452044,0.74243164,2,7.458911101023356
MNIST,backprop,kan,3layers,4096,0.05,4,525440,SGD,0.8376988,0.83166504,2,7.698882977167766
MNIST,backprop,kan,3layers,4096,0.05,4,525440,SGDM,0.84202355,0.8359375,2,7.677987972895305
MNIST,backprop,kan,4layers,4096,0.0005,4,1109120,Adam,0.09905134,0.09692383,0,7.469600598017375
MNIST,backprop,kan,4layers,4096,0.0005,4,1109120,SGD,0.09885951,0.09692383,0,7.463483572006226
MNIST,backprop,kan,4layers,4096,0.0005,4,1109120,SGDM,0.09898158,0.09692383,0,7.4487232367197675
MNIST,backprop,kan,4layers,4096,0.005,4,1109120,Adam,0.09915597,0.09692383,0,7.496459245681763
MNIST,backprop,kan,4layers,4096,0.005,4,1109120,SGD,0.09896415,0.09692383,0,7.412423054377238
MNIST,backprop,kan,4layers,4096,0.005,4,1109120,SGDM,0.099121094,0.09692383,0,7.558191776275635
MNIST,backprop,kan,4layers,4096,0.05,4,1109120,Adam,0.099016465,0.09692383,0,7.469605843226115
MNIST,backprop,kan,4layers,4096,0.05,4,1109120,SGD,0.09884208,0.09692383,0,7.381115754445394
MNIST,backprop,kan,4layers,4096,0.05,4,1109120,SGDM,0.099138536,0.09692383,0,7.391544500986735
MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,Adam,0.99762833,0.96398926,7,7.916044855117798
MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,SGD,0.9976109,0.96313477,4,8.251046409606934
MNIST,backprop,mlp,2layers,4096,0.0005,98,25514,SGDM,0.9976632,0.9630127,1,9.165647230148316
MNIST,backprop,mlp,2layers,4096,0.0005,0,12762,Adam,0.9100342,0.90405273,0,7.510801076889038
MNIST,backprop,mlp,2layers,4096,0.0005,0,12762,Adam,0.9094413,0.9049072,0,7.524562835693359
MNIST,backprop,mlp,2layers,4096,0.0005,0,12762,SGDM,0.91081893,0.9046631,0,7.604194641113281
MNIST,backprop,mlp,2layers,4096,0.0005,0,12762,SGDM,0.90996444,0.9061279,0,7.531430721282959
MNIST,backprop,mlp,2layers,4096,0.0005,0,12762,SGD,0.91034806,0.90515137,0,7.581961393356323
MNIST,backprop,mlp,2layers,4096,0.0005,0,12762,SGD,0.9100342,0.9057617,0,7.830309152603149
MNIST,backprop,mlp,2layers,4096,0.0005,4,25514,Adam,0.9638497,0.95214844,2,7.323775927225749
MNIST,backprop,mlp,2layers,4096,0.0005,4,25514,SGD,0.9640241,0.9530029,0,7.573803822199504
MNIST,backprop,mlp,2layers,4096,0.0005,4,25514,SGDM,0.9642334,0.9526367,1,7.636438767115275
MNIST,backprop,mlp,2layers,4096,0.005,98,25514,Adam,0.9969657,0.96655273,1,7.738884162902832
MNIST,backprop,mlp,2layers,4096,0.005,98,25514,SGD,0.99720985,0.963501,2,7.555467929840088
MNIST,backprop,mlp,2layers,4096,0.005,98,25514,SGDM,0.997297,0.9637451,4,7.778124947547912
MNIST,backprop,mlp,2layers,4096,0.005,4,25514,Adam,0.9616699,0.951416,2,7.43328062693278
MNIST,backprop,mlp,2layers,4096,0.005,4,25514,SGD,0.9633789,0.9515381,0,7.6079098383585615
MNIST,backprop,mlp,2layers,4096,0.005,4,25514,SGDM,0.963501,0.9519043,0,7.45944356918335
MNIST,backprop,mlp,2layers,4096,0.05,98,25514,Adam,0.9897286,0.96606445,33,7.742143812179566
MNIST,backprop,mlp,2layers,4096,0.05,98,25514,SGD,0.9922921,0.9667969,23,7.714469027519226
MNIST,backprop,mlp,2layers,4096,0.05,98,25514,SGDM,0.9940011,0.96728516,32,7.714621253013611
MNIST,backprop,mlp,2layers,4096,0.05,0,12762,Adam,0.8624965,0.8613281,0,9.9596905708313
MNIST,backprop,mlp,2layers,4096,0.05,0,12762,Adam,0.8629674,0.8597412,0,7.549131393432617
MNIST,backprop,mlp,2layers,4096,0.05,0,12762,SGDM,0.9086914,0.9029541,0,7.5703089237213135
MNIST,backprop,mlp,2layers,4096,0.05,0,12762,SGDM,0.90799385,0.9033203,0,7.852416038513184
MNIST,backprop,mlp,2layers,4096,0.05,0,12762,SGD,0.9078369,0.90185547,0,7.553023815155029
MNIST,backprop,mlp,2layers,4096,0.05,0,12762,SGD,0.90748817,0.90319824,0,7.440587997436523
MNIST,backprop,mlp,2layers,4096,0.05,4,25514,Adam,0.9488177,0.94091797,2,8.599059502283732
MNIST,backprop,mlp,2layers,4096,0.05,4,25514,SGD,0.9538923,0.9449463,2,7.4125157197316485
MNIST,backprop,mlp,2layers,4096,0.05,4,25514,SGDM,0.95532227,0.94592285,0,7.4333914915720625
MNIST,backprop,mlp,3layers,4096,0.0005,2,52842,Adam,0.97527206,0.9641113,0,7.586763501167297
MNIST,backprop,mlp,3layers,4096,0.0005,2,52842,SGDM,0.9755336,0.9645996,1,7.615750193595886
MNIST,backprop,mlp,3layers,4096,0.0005,2,52842,SGD,0.97535926,0.96435547,0,7.531591176986694
MNIST,backprop,mlp,3layers,4096,0.0005,4,52842,Adam,0.986363,0.9671631,1,7.526930093765259
MNIST,backprop,mlp,3layers,4096,0.0005,4,52842,SGD,0.9862584,0.9667969,1,7.412436405817668
MNIST,backprop,mlp,3layers,4096,0.0005,4,52842,SGDM,0.98648506,0.96691895,2,7.433313528696696
MNIST,backprop,mlp,3layers,4096,0.005,2,52842,Adam,0.9722726,0.96240234,1,7.730346441268921
MNIST,backprop,mlp,3layers,4096,0.005,2,52842,SGDM,0.97445244,0.9638672,0,8.50636887550354
MNIST,backprop,mlp,3layers,4096,0.005,2,52842,SGD,0.97445244,0.9647217,1,7.692271590232849
MNIST,backprop,mlp,3layers,4096,0.005,4,52842,Adam,0.98385185,0.96569824,2,7.40718936920166
MNIST,backprop,mlp,3layers,4096,0.005,4,52842,SGD,0.9852992,0.9661865,0,7.36036475499471
MNIST,backprop,mlp,3layers,4096,0.005,4,52842,SGDM,0.9855085,0.9661865,1,7.407135645548503
MNIST,backprop,mlp,3layers,4096,0.05,98,52842,Adam,0.9983956,0.97558594,18,7.723285102844239
MNIST,backprop,mlp,3layers,4096,0.05,98,52842,SGD,0.99949425,0.9741211,30,7.708464894294739
MNIST,backprop,mlp,3layers,4096,0.05,98,52842,SGDM,1.0,0.97509766,23,7.67052535533905
MNIST,backprop,mlp,3layers,4096,0.05,2,52842,Adam,0.95401436,0.94628906,1,8.923110127449036
MNIST,backprop,mlp,3layers,4096,0.05,2,52842,SGDM,0.9648786,0.9572754,1,8.16813588142395
MNIST,backprop,mlp,3layers,4096,0.05,2,52842,SGD,0.96379745,0.9567871,1,7.612094879150391
MNIST,backprop,mlp,3layers,4096,0.05,4,52842,Adam,0.96972656,0.95666504,2,7.438128630320231
MNIST,backprop,mlp,3layers,4096,0.05,4,52842,SGD,0.9764579,0.96398926,1,7.422758499781291
MNIST,backprop,mlp,3layers,4096,0.05,4,52842,SGDM,0.9774867,0.96484375,0,7.527028799057007
MNIST,backprop,mlp,4layers,4096,0.0005,4,111594,Adam,0.99635535,0.97424316,0,7.449007511138916
MNIST,backprop,mlp,4layers,4096,0.0005,4,111594,SGD,0.9964948,0.9741211,2,7.49580995241801
MNIST,backprop,mlp,4layers,4096,0.0005,4,111594,SGDM,0.9964251,0.9741211,1,7.41774304707845
MNIST,backprop,mlp,4layers,4096,0.005,4,111594,Adam,0.9938965,0.9753418,2,7.43842625617981
MNIST,backprop,mlp,4layers,4096,0.005,4,111594,SGD,0.9951172,0.97424316,2,7.407337745030721
MNIST,backprop,mlp,4layers,4096,0.005,4,111594,SGDM,0.99532646,0.9741211,1,7.417632261912028
MNIST,backprop,mlp,4layers,4096,0.05,4,111594,Adam,0.98064315,0.96777344,2,7.485327164332072
MNIST,backprop,mlp,4layers,4096,0.05,4,111594,SGD,0.98481095,0.97143555,2,7.45403774579366
MNIST,backprop,mlp,4layers,4096,0.05,4,111594,SGDM,0.9870431,0.97216797,2,7.402111768722534
